전법명,분류,습득,효과,수치,대상,범위,사거리,쿨타임,거점공격,의존능력,출처,비고
투석,공격(병기),공용,내구피해 + 피해,내구피해 위력144 / 피해 위력4,단일,단일,확인불가,12,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,투석 진형 전용으로 추정
구축,공격,공용,피해,위력8,단일,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,수군 주가 전용
강습,공격,공용,피해 + 혼란 부여,피해 위력10 / 혼란 위력4,단일,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,수군 몽충 전용
시람,공격,공용,피해,위력8,광역(1칸),1칸 광역,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,수군 누선 전용. 표에서 범위2 = 1칸 광역
구갑대열,방어,교역,아군 방어상승 + 부상병 회복,방어상승 위력10·10일 / 부상병회복 위력17,아군(광역),자료 미확인,확인불가,18,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,대진국(낙양) 교역. **철벽과 달리 거점에서도 자동발동된다.** '광역철벽'류
안식사법,공격,교역,피해 + 혼란,피해 위력6 / 혼란 위력4,단일,자료 미확인,확인불가,18,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,안식국(장안·완·상용) 교역. 습득 과정에서 전법 데미지 상승 패시브도 함께 얻는다
아수라진,공격,교역,피해 + 적 방어저하,피해 위력12 / 방어저하 위력10·7일,단일,자료 미확인,확인불가,18,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,귀상국(촉) 교역. 귀상국은 교역 소요일수가 안식국·대진국의 절반이라 빨리 습득 가능
전상돌격,공격,교역,내구피해 + 피해,내구피해 위력240 / 피해 위력15,단일,자료 미확인,확인불가,18,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,천축국(남해·교지) 교역. 공성병기 충차 진형 전용
위무지강,계략,고유(조조),아군 전능력상승 + 적 전능력저하,아군상승 위력40·10일 / 적저하 위력28·10일,아군+적(광역),1칸 광역,확인불가,18,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
천하무쌍,공격,고유(여포),피해 + 적 사기저하,피해 위력20 / 사기저하 위력10,광역,1칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,거점 불가 이유를 출처는 '광역+계수20이 거점까지 되면 밸런스가 무너져서'로 추정. 유저 해설이며 공식 확인이 아니다
군신,공격,고유(관우),피해 + 아군 사기상승,피해 위력15 / 사기상승 위력25,단일,1칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
만인적,공격,고유(장비),피해 + 저지 부여,피해 위력20 / 저지 위력16,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
신산귀모,계략,고유(제갈량),전상태이상 부여 + 적 전능력저하,상태이상 위력20 / 적저하 위력28·10일,단일,1칸 광역,확인불가,22,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,전상태이상 = 혼란·도발·저지 3종 동시 부여
대기대덕,회복,고유(유비),부상병 회복 + 아군 사기상승,부상병회복 위력17 / 사기상승 위력15,아군(광역),1칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,
단기구,공격,고유(조운),피해 + 혼란 부여,피해 위력15 / 혼란 위력16,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
신기묘산,계략,고유(사마의),전상태이상 부여 + 적 사기저하,상태이상 위력20 / 사기저하 위력10,단일,1칸 광역,확인불가,22,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,
대호웅략,계략,고유(손권),상태이상 해소 + 아군 전능력상승,해소 범위2 / 상승 위력40·5일,아군(광역),2칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,
신화계,계략,고유(주유),발화 + 전상태이상 부여,발화 위력36 / 상태이상 위력36,광역,1칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,본인은 불 면역이나 이 게임에 풍향 개념이 없어 이후 불이 아군에게도 옮겨붙을 수 있다
경국지무,계략,고유(초선),혼란 부여 + 저지 부여,혼란 위력20 / 저지 위력16,단일,1칸 광역,확인불가,22,X,지력,https://bbs.ruliweb.com/game/1771/read/9416537,
팔문금쇄,방어,고유(조인),아군 방어상승,위력40·10일,아군(광역),1칸 광역,확인불가,18,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,**철벽과 달리 거점에서도 자동발동된다.** '광역철벽'류
함진영,공격,고유(고순),내구피해 + 아군 파성상승,내구피해 위력88 / 파성상승 위력40·5일,단일,단일,확인불가,18,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,원래 거점용으로 설계된 듯하나 적 부대 상대로도 발동하는 버그성 동작이 관측된다
태평요술,계략,고유(장각),전상태이상 부여 + 부상병 회복,상태이상 위력20 / 회복 위력17,단일+아군(광역),1칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,쿨타임 18일로 신산귀모(22일)류보다 짧아 효율이 좋다는 평가
신위천관,공격,고유(마초),피해 + 혼란 부여,피해 위력15 / 혼란 위력8,단일,1칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,마씨 일족 친애(마방진)로 5연계가 잘 터져 체감 위력이 매우 높다
신궁,공격(원거리),고유(황충),피해 + 아군 공군상승,피해 위력10 / 공군상승 위력40·5일,단일,단일,확인불가,18,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,계수10의 거점 발동 전법이라 평가가 좋다
호기충천,공격(제압),고유(하후돈),아군 사기상승 + 적 공군저하,사기상승 위력15 / 공군저하 위력28·5일,아군+적,1칸 광역,확인불가,18,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
인왕서기,공격,고유(전위),피해 + 저지 부여,피해 위력15 / 저지 위력8,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
료래료래,공격,고유(장료),피해 + 적 공군저하,피해 위력15 / 공군저하 위력28·10일,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
백전연마,공격,고유(장합·염파),피해 + 상태이상 해소,피해 위력15 / 해소 범위2,단일,2칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
묘재연전,공격(원거리),고유(하후연),적에게 원거리 피해를 주고 아군의 기동력을 올림,피해 위력6 / 아군 기동상승 위력40·2일,아군+적,1칸 광역,확인불가,18,O,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
괴력무비,공격,고유(허저),적에게 피해를 주고 아군 방어력을 올림,피해 위력15 / 아군 방어상승 위력40·5일,아군+적,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
장구직입,공격,"고유(서황, 쿠빌라이)",적에게 피해를 주고 아군 방어력을 올림,피해 위력10(1칸광역) / 아군 방어상승 위력40·5일,아군+적,1칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,"쿠빌라이는 콜라보 무장, 신무장에게 부여 불가"
왕좌지재,지원,"고유(순욱, 소하)",아군의 상태이상을 해소하고 부상병을 회복시킴,상태이상해소(2칸광역) / 부상병회복 위력14(1칸광역),아군(광역),2칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
병귀신속,계략,고유(곽가),아군의 기동력을 올리고 적의 공격력을 낮춤,아군 기동상승 위력40·2일(1칸광역) / 적 공군저하 위력28·3일(1칸광역),아군+적,1칸 광역,확인불가,18,X,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
허유엄살,계략,"고유(가후, 손빈)",적에게 혼란과 저지를 부여함,혼란부여 위력28 / 저지부여 위력24,단일,단일,확인불가,22,X,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
백마철기,공격(원거리),고유(방덕),적에게 피해를 주고 방어력을 낮춤,피해 위력10 / 적 방어저하 위력28·10일,단일,단일,확인불가,18,O,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
천방백계,지원,"고유(순유, 관이오)",아군 사기를 올리고 상태이상을 해소함,아군 사기상승 위력15(1칸광역) / 상태이상해소(2칸광역),아군(광역),1칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
황수강용,공격,고유(조창),적에게 피해를 주고 사기를 낮춤,피해 위력15 / 적 사기저하 위력10(1칸광역),광역(1칸),단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
맹호조아,공격,"고유(손견, 이규)",적에게 피해를 주고 아군 공격력을 올림,피해 위력15 / 아군 공군상승 위력40·3일(1칸광역),아군+적,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
호소풍열,공격,고유(손책),적에게 피해를 주고 아군 공격력을 올림,피해 위력10(1칸광역) / 아군 공군상승 위력40·5일,아군+적,1칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
명찰추호,지원,"고유(노숙, 공구, 연청)",아군 사기를 올리고 상태이상을 해소함,아군 사기상승 위력15(1칸광역) / 상태이상해소(2칸광역),아군(광역),1칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
수문연무,공격,"고유(여몽, 위무기)",적에게 피해를 주고 아군 공격력을 올림,피해 위력15 / 아군 공군상승 위력40·5일,아군+적,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
극염,계략,"고유(육손, 전단, 오다 노부나가)",적을 불태우고 전능력을 낮춤,발화 위력24(1칸광역) / 적 전능력저하 위력28·5일,광역(1칸),1칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,오다 노부나가는 콜라보 무장
고육지계,공격(제압),고유(황개),적의 기동력을 낮추고 불태움,적 기동저하 위력28·10일 / 발화 위력24,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
만천과해,공격(원거리),"고유(태사자, 항연)",적에게 피해를 주고 전능력을 낮춤,피해 위력6(1칸광역) / 적 전능력저하 위력28·5일,광역(1칸),1칸 광역,확인불가,18,O,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
금범강습,공격,고유(감녕),적에게 피해를 주고 혼란을 부여함,피해 위력15 / 혼란부여 위력8,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
치돌,공격,고유(주태),적에게 피해를 주고 사기를 낮춤,피해 위력15 / 적 사기저하 위력15,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
총명강의,방어,"고유(정보, 몽염)",아군 방어력과 사기를 올림,아군 방어상승 위력40·10일 / 아군 사기상승 위력18,자신,단일,확인불가,18,O,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
호궁,공격(원거리),고유(손상향),적에게 피해를 주고 아군 사기를 올림,피해 위력6(1칸광역) / 아군 사기상승 위력18,아군+적,1칸 광역,확인불가,18,O,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
기지기책,계략,"고유(제갈각, 오기)",적 전능력을 낮추고 피해를 줌,적 전능력저하 위력28·10일 / 피해 위력8(1칸광역),광역(1칸),단일,확인불가,18,X,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
사사삼백,공격,고유(능통),적에게 피해를 주고 도발을 부여함,피해 위력15 / 도발부여 위력8,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
위성지계,공격,고유(서성),적에게 피해를 주고 아군 사기를 올림,피해 위력15 / 아군 사기상승 위력18,아군+적,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
명경지수,계략,"고유(서서, 한신, 타이겐 셋사이)",적 전능력을 낮추고 불태움,적 전능력저하 위력28·10일 / 발화 위력24,단일,단일,확인불가,18,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,타이겐 셋사이는 콜라보 무장
연환지계,계략,고유(방통),적 사기를 낮추고 저지를 부여함,적 사기저하 위력10 / 저지부여 위력24(1칸광역),광역(1칸),단일,확인불가,18,X,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
기략종횡,계략,"고유(법정, 전문, 오용)",적에게 혼란과 저지를 부여함,혼란부여 위력28 / 저지부여 위력24,단일,단일,확인불가,22,X,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
기염만장,공격(제압),고유(강유),적 공격력과 사기를 낮춤,적 공군저하 위력28·10일(1칸광역) / 적 사기저하 위력10(1칸광역),광역(1칸),1칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
반골인,공격,고유(위연),적에게 피해를 주고 도발을 부여함,피해 위력15 / 도발부여 위력8,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
충용의열,공격,고유(관평),적에게 피해를 주고 아군 사기를 올림,피해 위력15 / 아군 사기상승 위력18,아군+적,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
철기돌,공격(제압),고유(마대),적 방어력을 낮추고 아군 상태이상을 해소함,적 방어저하 위력28·10일 / 상태이상해소(2칸광역),아군+적,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
용양용전,공격,고유(관흥),적에게 피해를 주고 저지를 부여함,피해 위력15 / 저지부여 위력8,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
호익용전,공격,고유(장포),적에게 피해를 주고 저지를 부여함,피해 위력15 / 저지부여 위력8,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
도산경해,공격,"고유(동탁, 조옹)",적에게 피해를 주고 사기를 낮춤,피해 위력10(1칸광역) / 적 사기저하 위력10(1칸광역),광역(1칸),1칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
짐독,계략,고유(이유),적에게 피해를 주고 전상태이상(혼란·도발·저지)을 부여함,피해 위력6(1칸광역) / 전상태이상부여 위력12,광역(1칸),1칸 광역,확인불가,18,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
개수일촉,공격,"고유(화웅, 전기)",적에게 피해를 주고 방어력을 낮춤,피해 위력15 / 적 방어저하 위력28·10일,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
기각지계,계략,고유(진궁),적에게 저지를 부여하고 사기를 낮춤,저지부여 위력28 / 적 사기저하 위력15,단일,단일,확인불가,22,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
원가위광,공격(제압),고유(원소),아군 전능력과 사기를 올림,아군 전능력상승 위력40·10일 / 아군 사기상승 위력18,자신,단일,확인불가,18,O,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
질풍노도,공격,"고유(안량, 영포)",적에게 피해를 주고 사기를 낮춤,피해 위력15 / 적 사기저하 위력10(1칸광역),광역(1칸),단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
질풍신뢰,공격,"고유(문추, 이신)",적에게 피해를 주고 공격력을 낮춤,피해 위력15 / 적 공군저하 위력28·10일,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
원가영광,공격(제압),고유(원술),적 전능력과 사기를 낮춤,적 전능력저하 위력28·10일 / 적 사기저하 위력15,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
백마의종,공격,고유(공손찬),적에게 피해를 주고 저지를 부여함,피해 위력15 / 저지부여 위력8,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
천변필살,방어,고유(장임),아군 방어력을 올리고 적 사기를 낮춤,아군 방어상승 위력40·10일 / 적 사기저하 위력15,아군+적,단일,확인불가,18,O,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
만왕포효,공격,고유(맹획),적에게 피해를 주고 사기를 낮춤,피해 위력10(1칸광역) / 적 사기저하 위력10(1칸광역),광역(1칸),1칸 광역,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
화신난인,계략,고유(축융),적을 불태우고 사기를 낮춤,발화 위력36 / 적 사기저하 위력15,단일,단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,의존능력이 계략 계통이지만 무력 기반으로 표기됨(원문 그대로)
강장진군,공격(제압),고유(등애),적에게 혼란을 부여하고 아군 기동력을 올림,혼란부여 위력12 / 아군 기동상승 위력40·2일,아군+적,단일,확인불가,22,O,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
정련책수,계략,"고유(종회, 범증)",적 전능력을 낮추고 피해를 줌,적 전능력저하 위력28·10일 / 피해 위력5,단일,단일,확인불가,18,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
용왕매진,공격,"고유(문앙, 왕전, 호연작)",적에게 피해를 주고 혼란을 부여함,피해 위력15 / 혼란부여 위력8(1칸광역),광역(1칸),단일,확인불가,18,X,무력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,
불요불굴,계략,"고유(곽회, 이목, 자무카)",아군 방어력을 올리고 적에게 혼란을 부여함,아군 방어상승 위력40·10일 / 혼란부여 위력24,아군+적,단일,확인불가,18,X,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,자무카는 콜라보 무장
침의대략,공격(원거리),"고유(사마사, 야율초재)",아군 공격력을 올리고 상태이상을 해소함,아군 공군상승 위력40·10일 / 상태이상해소(2칸광역),아군(광역),단일,확인불가,18,O,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,야율초재는 콜라보 무장
심모원려,공격(제압),"고유(사마소, 영정)",적 공격력과 사기를 낮춤,적 공군저하 위력28·10일(1칸광역) / 적 사기저하 위력10(1칸광역),광역(1칸),1칸 광역,확인불가,18,X,지력,https://bbs.ruliweb.com/pc/game/85282/read/9416537,영정은 킹덤 콜라보 무장
돌기,지원,고유(오환족 전용),아군의 기동력을 올림,아군 기동상승 위력5·10일(1칸광역),아군(광역),,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,"이민족(오환) 계통 무장 공용 전법으로, 특정 인물 1인 전용이 아님"
궁기,지원,고유(선비족 전용),아군의 공성력을 올림,아군 공성상승 위력5·10일(1칸광역),아군(광역),,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,이민족(선비) 계통 무장 공용 전법
전차,공격(원거리),고유(강족 전용),아군의 공격력을 올림,아군 공군상승 위력5·10일(1칸광역),아군(광역),,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,이민족(강) 계통 무장 공용 전법
강기,방어,고유(산월족 전용),아군의 방어력을 올림,아군 방어상승 위력10·10일(1칸광역),아군(광역),,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,이민족(산월) 계통 무장 공용 전법
상병,방어,고유(남만족 전용),아군의 파성력을 올림,아군 파성상승 위력5·10일(1칸광역),아군(광역),,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,이민족(남만) 계통 무장 공용 전법
확호부동,지원,고유(우금),아군 상태이상을 해소하고 사기를 올림,상태이상해소(2칸광역) / 아군 사기상승 위력18,아군(광역),,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
기계구조,계략,고유(왕이),적에게 저지를 부여하고 아군 사기를 올림,저지부여·6일 / 아군 사기상승 위력18,아군+적,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
견성철벽,방어,고유(학소),아군 방어력을 올리고 적 공격력을 낮춤,아군 방어상승 위력10·10일 / 적 공군저하 위력10·7일,아군+적,,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
반전필살,공격(제압),고유(한수),아군 기동력과 공격력을 올림,아군 기동상승 위력2·10일 / 아군 공군상승 위력5·10일,자신,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
교월궁,공격,고유(엄안),적에게 피해를 주고 아군 방어력을 올림,피해 위력10 / 아군 방어상승 위력5·10일,아군+적,,확인불가,18,O,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
위령삼첨,공격,고유(기령),적에게 피해를 주고 공격력을 낮춤,피해 위력15 / 적 공군저하 위력5·7일,단일,,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
계략이기,계략,고유(황월영),적 전능력과 사기를 낮춤,적 전능력저하 위력5·7일 / 적 사기저하 위력10,단일,,확인불가,18,O,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
난사난격,방어,고유(황조),적 공성력과 파성력을 낮춤,적 공성저하 위력5·10일 / 적 파성저하 위력5·7일,단일,,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
현조쌍황,계략,고유(공손연),적에게 도발을 부여하고 사기를 낮춤,도발부여·5일 / 적 사기저하 위력15,단일,,확인불가,18,X,무력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
오화지변,계략,고유(황보숭),적을 불태우고 방어력을 낮춤,발화·9일 / 적 방어저하 위력10·7일,단일,,확인불가,18,O,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
도남지익,공격(제압),고유(사섭),부상병을 회복시키고 적 공성력을 낮춤,부상병회복 위력17 / 적 공성저하 위력5·7일,아군+적,,확인불가,18,X,지력,https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EB%AC%B4%EC%9E%A5,
